assists,No,Yes,win_percentage
5,12,1,0.07692307692307693
6,5,2,0.2857142857142857
7,11,3,0.21428571428571427
8,8,0,0.0
9,15,0,0.0
10,14,2,0.125
11,11,1,0.08333333333333333
12,13,2,0.13333333333333333
13,18,2,0.1
14,24,3,0.1111111111111111
15,23,4,0.14814814814814814
16,15,3,0.16666666666666666
17,12,2,0.14285714285714285
18,11,4,0.26666666666666666
19,19,7,0.2692307692307692
20,20,7,0.25925925925925924
21,28,5,0.15151515151515152
22,18,7,0.28
23,21,5,0.19230769230769232
24,34,7,0.17073170731707318
25,23,10,0.30303030303030304
26,15,12,0.4444444444444444
27,19,12,0.3870967741935484
28,20,10,0.3333333333333333
29,18,12,0.4
30,25,8,0.24242424242424243
31,14,10,0.4166666666666667
32,18,20,0.5263157894736842
33,21,8,0.27586206896551724
34,14,15,0.5172413793103449
35,10,18,0.6428571428571429
36,17,20,0.5405405405405406
37,16,13,0.4482758620689655
38,13,15,0.5357142857142857
39,11,26,0.7027027027027027
40,15,19,0.5588235294117647
41,15,12,0.4444444444444444
42,12,24,0.6666666666666666
43,18,24,0.5714285714285714
44,17,8,0.32
45,12,16,0.5714285714285714
46,12,19,0.6129032258064516
47,8,16,0.6666666666666666
48,11,19,0.6333333333333333
49,9,17,0.6538461538461539
50,11,17,0.6071428571428571
51,15,22,0.5945945945945946
52,5,26,0.8387096774193549
53,9,14,0.6086956521739131
54,8,22,0.7333333333333333
55,5,17,0.7727272727272727
56,16,19,0.5428571428571428
57,7,18,0.72
58,4,15,0.7894736842105263
59,4,12,0.75
60,9,14,0.6086956521739131
61,3,16,0.8421052631578947
62,7,10,0.5882352941176471
63,6,11,0.6470588235294118
64,3,11,0.7857142857142857
65,9,14,0.6086956521739131
66,4,11,0.7333333333333333
67,6,8,0.5714285714285714
68,5,11,0.6875
69,4,9,0.6923076923076923
70,6,18,0.75
71,1,9,0.9
72,7,10,0.5882352941176471
73,2,11,0.8461538461538461
74,4,10,0.7142857142857143
75,3,6,0.6666666666666666
76,5,7,0.5833333333333334
77,1,12,0.9230769230769231
78,4,7,0.6363636363636364
79,3,8,0.7272727272727273
80,2,4,0.6666666666666666
81,3,2,0.4
82,3,3,0.5
83,2,6,0.75
84,1,5,0.8333333333333334
85,0,4,1.0
88,1,6,0.8571428571428571
90,2,4,0.6666666666666666
91,2,3,0.6
92,2,3,0.6
93,3,2,0.4
98,2,3,0.6
99,2,3,0.6
100,4,1,0.2
112,3,4,0.5714285714285714
116,1,5,0.8333333333333334
117,0,4,1.0
119,1,4,0.8
122,0,4,1.0
126,2,5,0.7142857142857143
CORRELATION,0.7417085550991903